sender_pseudo,msgs,attacks,fused_hits,fp,fn
104775,235,0,6,6,0
104895,264,0,5,5,0
106515,221,0,5,5,0
105255,1310,0,4,4,0
106635,158,0,4,4,0
107291,536,0,4,4,0
103215,150,0,3,3,0
10752,907,0,2,2,0
10993,117,0,2,2,0
102074,269,0,2,2,0
104715,426,0,2,2,0
105075,318,0,2,2,0
105855,81,0,2,2,0
10812,89,0,1,1,0
101293,158,0,1,1,0
101834,185,0,1,1,0
103635,48,0,1,1,0
103995,215,0,1,1,0
104355,70,0,1,1,0
105195,92,0,1,1,0
105675,160,0,1,1,0
105915,114,0,1,1,0
104955,216,216,216,0,0
102555,212,212,212,0,0
10151,110,110,110,0,0
106155,89,89,89,0,0
107351,60,60,60,0,0
103755,14,14,14,0,0
10331,25,0,0,0,0
10392,38,0,0,0,0
10452,2,0,0,0,0
10572,85,0,0,0,0
10692,31,0,0,0,0
10873,193,0,0,0,0
10933,8,0,0,0,0
101053,67,0,0,0,0
101113,351,0,0,0,0
101173,198,0,0,0,0
101233,516,0,0,0,0
101413,207,0,0,0,0
101473,48,0,0,0,0
101533,47,0,0,0,0
101594,93,0,0,0,0
101654,108,0,0,0,0
101714,139,0,0,0,0
101774,271,0,0,0,0
101894,159,0,0,0,0
101954,231,0,0,0,0
102014,188,0,0,0,0
102135,489,0,0,0,0
102195,59,0,0,0,0
102255,69,0,0,0,0
102315,174,0,0,0,0
102375,67,0,0,0,0
102435,48,0,0,0,0
102615,1303,0,0,0,0
102675,159,0,0,0,0
102735,14,0,0,0,0
102795,115,0,0,0,0
102855,42,0,0,0,0
102915,162,0,0,0,0
102975,165,0,0,0,0
103035,94,0,0,0,0
103155,309,0,0,0,0
103275,203,0,0,0,0
103335,253,0,0,0,0
103515,451,0,0,0,0
103575,57,0,0,0,0
103695,36,0,0,0,0
103815,82,0,0,0,0
103875,146,0,0,0,0
103935,68,0,0,0,0
104055,17,0,0,0,0
104115,119,0,0,0,0
104175,258,0,0,0,0
104235,74,0,0,0,0
104295,217,0,0,0,0
104415,174,0,0,0,0
104475,304,0,0,0,0
104535,348,0,0,0,0
104595,189,0,0,0,0
104655,265,0,0,0,0
104835,131,0,0,0,0
105015,143,0,0,0,0
105135,246,0,0,0,0
105315,203,0,0,0,0
105375,34,0,0,0,0
105435,245,0,0,0,0
105495,9,0,0,0,0
105555,412,0,0,0,0
105615,139,0,0,0,0
105735,7,0,0,0,0
105795,190,0,0,0,0
105975,86,0,0,0,0
106035,25,0,0,0,0
106095,40,0,0,0,0
106215,117,0,0,0,0
106275,94,0,0,0,0
106335,101,0,0,0,0
106395,88,0,0,0,0
106455,110,0,0,0,0
106575,256,0,0,0,0
106695,96,0,0,0,0
106815,149,0,0,0,0
106875,210,0,0,0,0
106935,123,0,0,0,0
106995,11,0,0,0,0
107055,163,0,0,0,0
107170,95,0,0,0,0
107231,6,0,0,0,0
